,,ナビデータ中身
2019/11/10,12:01:37,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120136014
2019/11/10,12:01:38,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120137014
2019/11/10,12:01:39,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120138014
2019/11/10,12:01:40,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120139014
2019/11/10,12:01:41,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120140014
2019/11/10,12:01:42,CVGPSR003FB03000489000489037461795140293656+065000013341+00030120141014
2019/11/10,12:01:43,CVGPSR003FB03000489000489037461795140293656+065000013341+00030120142014
2019/11/10,12:01:44,CVGPSR003FB03000489000489037461793140293656+065000013341+00030120143014
2019/11/10,12:01:45,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120144014
2019/11/10,12:01:46,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120145014
2019/11/10,12:01:47,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120146014
2019/11/10,12:01:48,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120147014
2019/11/10,12:01:49,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120148014
2019/11/10,12:01:50,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120149014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120150014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120151014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120153014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120152014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120154014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120155014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120156014
2019/11/10,12:01:58,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120157014
2019/11/10,12:01:59,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120158014
2019/11/10,12:02:01,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120159014
2019/11/10,12:02:02,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120200014
2019/11/10,12:02:04,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120201014
2019/11/10,12:02:05,CVGPSR003FB03000489000489037461793140293653+065000013341+00030120202014
2019/11/10,12:02:05,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120203014
2019/11/10,12:02:05,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120204014
2019/11/10,12:02:10,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120205014
2019/11/10,12:02:11,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120207014
2019/11/10,12:02:11,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120206014
2019/11/10,12:02:11,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120208014
2019/11/10,12:02:11,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120209014
2019/11/10,12:02:13,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120210014
2019/11/10,12:02:13,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120211014
2019/11/10,12:02:13,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120212014
2019/11/10,12:02:14,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120213014
2019/11/10,12:02:16,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120214014
2019/11/10,12:02:17,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120216014
2019/11/10,12:02:17,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120215014
2019/11/10,12:02:18,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120217014
2019/11/10,12:02:19,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120218014
2019/11/10,12:02:22,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120219014
2019/11/10,12:02:24,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120220014
2019/11/10,12:02:24,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120221014
2019/11/10,12:02:25,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120222014
2019/11/10,12:02:25,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120224014
2019/11/10,12:02:25,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120223014
2019/11/10,12:02:26,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120225014
2019/11/10,12:02:27,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120226014
2019/11/10,12:02:28,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120227014
2019/11/10,12:02:29,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120228014
2019/11/10,12:02:30,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120229014
2019/11/10,12:02:31,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120230014
2019/11/10,12:02:32,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120231014
2019/11/10,12:02:33,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120232014
2019/11/10,12:02:34,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120233014
2019/11/10,12:02:35,CVGPSR003FB03000489000489037461790140293650+066000013341+00030120234014
2019/11/10,12:02:36,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120235014
2019/11/10,12:02:39,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120237014
2019/11/10,12:02:39,CVGPSR003FB03000489000489037461790140293653+066000013341+00030120236014
2019/11/10,12:02:39,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120238014
2019/11/10,12:02:40,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120239014
2019/11/10,12:02:41,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120240014
2019/11/10,12:02:42,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120241014
2019/11/10,12:02:43,CVGPSR003FB03000489000489037461790140293653+065000013341+00030120242014
2019/11/10,12:02:44,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120243014
2019/11/10,12:02:45,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120244014
2019/11/10,12:02:46,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120245014
2019/11/10,12:02:47,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120246014
2019/11/10,12:02:48,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120247014
2019/11/10,12:02:51,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120248014
2019/11/10,12:02:51,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120249014
2019/11/10,12:02:51,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120250014
2019/11/10,12:02:52,CVGPSR003FB03000489000489037461792140293653+065000013341+00030120251014
2019/11/10,12:02:53,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120252014
2019/11/10,12:02:54,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120253014
2019/11/10,12:02:56,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120254014
2019/11/10,12:02:56,CVGPSR003FB03000489000489037461792140293656+065000013341+00030120255014
2019/11/10,12:02:57,CVGPSR003FB03000489000489037461790140293656+064000013341+00030120256014
