,,ナビデータ中身
2019/11/10,12:02:18,CVNAVR103FB03000147000147037461650140293668+029000028623+00070120217008
2019/11/10,12:02:19,CVNAVR103FB03000147000147037461650140293668+029000028620+00070120218008
2019/11/10,12:02:20,CVNAVR103FB03000147000147037461650140293668+029000028618+00070120219008
2019/11/10,12:02:21,CVNAVR103FB03000147000147037461650140293668+029000028618+00070120220008
2019/11/10,12:02:22,CVNAVR103FB03000147000147037461650140293668+029000028616+00070120221008
2019/11/10,12:02:23,CVNAVR103FB03000147000147037461650140293668+029000028615+00070120222008
2019/11/10,12:02:24,CVNAVR103FB03000147000147037461650140293668+029000028612+00070120223008
2019/11/10,12:02:25,CVNAVR103FB03000147000147037461650140293668+029000028611+00070120224008
2019/11/10,12:02:26,CVNAVR103FB03000147000147037461650140293668+029000028610+00070120225008
2019/11/10,12:02:27,CVNAVR103FB03000147000147037461650140293668+029000028607+00070120226008
2019/11/10,12:02:28,CVNAVR103FB03000147000147037461650140293668+029000028605+00070120227008
2019/11/10,12:02:29,CVNAVR103FB03000147000147037461650140293668+029000028603+00070120228008
2019/11/10,12:02:31,CVNAVR103FB03000147000147037461650140293668+029000028603+00070120229008
2019/11/10,12:02:31,CVNAVR103FB03000147000147037461650140293668+029000028601+00070120230008
2019/11/10,12:02:32,CVNAVR103FB03000147000147037461650140293668+029000028598+00070120231008
2019/11/10,12:02:33,CVNAVR103FB03000147000147037461650140293668+029000028596+00070120232008
2019/11/10,12:02:34,CVNAVR103FB03000147000147037461650140293668+029000028595+00070120233008
2019/11/10,12:02:35,CVNAVR103FB03000147000147037461650140293668+029000028592+00070120234008
2019/11/10,12:02:36,CVNAVR103FB03000147000147037461650140293668+029000028590+00070120235008
2019/11/10,12:02:37,CVNAVR103FB03000147000147037461650140293668+029000028589+00070120236008
2019/11/10,12:02:38,CVNAVR103FB03000147000147037461650140293668+029000028589+00070120237008
2019/11/10,12:02:39,CVNAVR103FB03000147000147037461650140293668+029000028587+00070120238008
2019/11/10,12:02:40,CVNAVR103FB03000147000147037461650140293668+029000028586+00070120239008
2019/11/10,12:02:41,CVNAVR103FB03000147000147037461650140293668+029000028585+00070120240008
2019/11/10,12:02:43,CVNAVR103FB03000147000147037461650140293668+029000028584+00070120241008
2019/11/10,12:02:43,CVNAVR103FB03000147000147037461650140293668+029000028583+00070120242008
2019/11/10,12:02:44,CVNAVR103FB03000147000147037461650140293668+029000028582+00070120243008
2019/11/10,12:02:45,CVNAVR103FB03000147000147037461650140293668+029000028580+00070120244008
2019/11/10,12:02:46,CVNAVR103FB03000147000147037461650140293668+029000028577+00070120245008
2019/11/10,12:02:49,CVNAVR103FB03000147000147037461650140293668+029000028575+00070120246008
2019/11/10,12:02:52,CVNAVR103FB03000147000147037461650140293668+029000028574+00070120247008
2019/11/10,12:02:52,CVNAVR103FB03000147000147037461650140293668+029000028572+00070120248008
2019/11/10,12:02:54,CVNAVR103FB03000147000147037461650140293668+029000028569+00070120249008
2019/11/10,12:02:54,CVNAVR103FB03000147000147037461650140293668+029000028565+00070120250008
2019/11/10,12:02:54,CVNAVR103FB03000147000147037461650140293668+029000028562+00070120251008
2019/11/10,12:02:54,CVNAVR103FB03000147000147037461650140293668+029000028561+00070120252008
2019/11/10,12:02:54,CVNAVR103FB03000147000147037461650140293668+029000028557+00070120253008
2019/11/10,12:02:57,CVNAVR103FB03000147000147037461650140293668+029000028553+00070120254008
2019/11/10,12:02:58,CVNAVR103FB03000147000147037461650140293668+029000028553+00070120255008
2019/11/10,12:02:58,CVNAVR103FB03000147000147037461650140293668+029000028551+00070120256008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028548+00070120257008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028543+00070120300008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028546+00070120258008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028546+00070120259008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028541+00070120301008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028538+00070120302008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028538+00070120303008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028535+00070120305008
2019/11/10,12:03:06,CVNAVR103FB03000147000147037461650140293668+029000028535+00070120304008
2019/11/10,12:03:07,CVNAVR103FB03000147000147037461650140293668+029000028535+00070120306008
2019/11/10,12:03:09,CVNAVR103FB03000147000147037461650140293668+029000028533+00070120307008
2019/11/10,12:03:09,CVNAVR103FB03000147000147037461650140293668+029000028532+00070120308008
2019/11/10,12:03:10,CVNAVR103FB03000147000147037461650140293668+029000028529+00070120309008
2019/11/10,12:03:11,CVNAVR103FB03000147000147037461650140293668+029000028525+00070120310008
2019/11/10,12:03:12,CVNAVR103FB03000147000147037461650140293668+029000028518+00070120311008
2019/11/10,12:03:14,CVNAVR103FB03000147000147037461650140293668+029000028522+00070120312008
2019/11/10,12:03:14,CVNAVR103FB03000147000147037461650140293668+029000028524+00070120313008
2019/11/10,12:03:15,CVNAVR103FB03000147000147037461650140293668+029000028523+00070120314008
2019/11/10,12:03:16,CVNAVR103FB03000147000147037461650140293668+029000028519+00070120315008
2019/11/10,12:03:17,CVNAVR103FB03000147000147037461650140293668+029000028521+00070120316008
2019/11/10,12:03:19,CVNAVR103FB03000147000147037461650140293668+029000028517+00070120317008
2019/11/10,12:03:20,CVNAVR103FB03000147000147037461650140293668+029000028516+00070120318008
2019/11/10,12:03:20,CVNAVR103FB03000147000147037461650140293668+029000028513+00070120319008
2019/11/10,12:03:21,CVNAVR103FB03000147000147037461650140293668+029000028516+00070120320008
2019/11/10,12:03:22,CVNAVR103FB03000147000147037461650140293668+029000028516+00070120321008
2019/11/10,12:03:23,CVNAVR103FB03000147000147037461650140293668+029000028517+00070120322008
2019/11/10,12:03:24,CVNAVR103FB03000147000147037461650140293668+029000028517+00070120323008
2019/11/10,12:03:25,CVNAVR103FB03000147000147037461650140293668+029000028515+00070120324008
2019/11/10,12:03:26,CVNAVR103FB03000147000147037461650140293668+029000028514+00070120325008
2019/11/10,12:03:27,CVNAVR103FB03000147000147037461650140293668+029000028514+00070120326008
2019/11/10,12:03:28,CVNAVR103FB03000147000147037461650140293668+029000028512+00070120327008
2019/11/10,12:03:29,CVNAVR103FB03000147000147037461650140293668+029000028512+00070120328008
