,,ナビデータ中身
2019/11/10,12:01:53,CVGPSR001FC01000510000470037461918140293368+067000030250-04070120152114
2019/11/10,12:01:54,CVGPSR001FC01000510000470037461918140293368+067000030250-04070120153114
2019/11/10,12:01:55,CVGPSR001FC01000510000470037461918140293368+067000030251-04070120154114
2019/11/10,12:01:56,CVGPSR001FC01000510000470037461918140293368+067000030250-04070120155114
2019/11/10,12:01:57,CVGPSR001FC01000510000470037461918140293368+067000030248-04070120156114
2019/11/10,12:01:58,CVGPSR001FC01000510000470037461918140293368+067000030249-04070120157114
2019/11/10,12:01:59,CVGPSR001FC01000510000470037461918140293368+067000030250-04070120158114
2019/11/10,12:02:00,CVGPSR001FC01000510000470037461918140293368+067000030251-04070120159114
2019/11/10,12:02:01,CVGPSR001FC01000510000470037461918140293368+067000030251-04070120200114
2019/11/10,12:02:02,CVGPSR001FC01000510000470037461918140293368+067000030248-04070120201114
2019/11/10,12:02:03,CVGPSR001FC01000510000470037461918140293368+067000030248-04070120202114
2019/11/10,12:02:04,CVGPSR001FC01000510000470037461918140293368+067000030248-04070120203114
2019/11/10,12:02:05,CVGPSR001FC01000510000470037461918140293368+067000030249-04070120204114
2019/11/10,12:02:06,CVGPSR001FC01000510000470037461918140293368+067000030249-04070120205114
2019/11/10,12:02:07,CVGPSR001FC01000510000470037461918140293368+067000030248-04070120206114
2019/11/10,12:02:08,CVGPSR001FC01000510000470037461918140293368+067000030249-04070120207114
2019/11/10,12:02:09,CVGPSR001FC01000510000470037461918140293368+067000030249-04070120208114
2019/11/10,12:02:10,CVGPSR001FC01000510000470037461918140293368+067000030249-04070120209114
2019/11/10,12:02:11,CVGPSR001FC01000510000470037461918140293368+067000030248-04070120210114
2019/11/10,12:02:12,CVGPSR001FC01000510000470037461918140293368+067000030247-04070120211114
2019/11/10,12:02:13,CVGPSR001FC01000510000470037461918140293368+067000030245-04070120212114
2019/11/10,12:02:14,CVGPSR001FC01000510000470037461918140293368+067000030243-04070120213114
2019/11/10,12:02:15,CVGPSR001FC01000510000470037461918140293368+067000030244-04070120214114
2019/11/10,12:02:16,CVGPSR001FC01000510000470037461918140293368+067000030246-04070120215114
2019/11/10,12:02:17,CVGPSR001FC01000510000470037461918140293368+067000030245-04070120216114
2019/11/10,12:02:18,CVGPSR001FC01000510000470037461918140293368+067000030244-04070120217114
2019/11/10,12:02:19,CVGPSR001FC01000510000470037461918140293368+067000030243-04070120218114
2019/11/10,12:02:20,CVGPSR001FC01000510000470037461918140293368+067000030243-04070120219114
2019/11/10,12:02:21,CVGPSR001FC01000510000470037461918140293368+067000030244-04070120220114
2019/11/10,12:02:22,CVGPSR001FC01000510000470037461918140293368+067000030242-04070120221114
2019/11/10,12:02:23,CVGPSR001FC01000510000470037461918140293368+067000030240-04070120222114
2019/11/10,12:02:24,CVGPSR001FC01000510000470037461918140293368+067000030239-04070120223114
2019/11/10,12:02:25,CVGPSR001FC01000510000470037461918140293368+067000030239-04070120224114
2019/11/10,12:02:26,CVGPSR001FC01000510000470037461918140293368+067000030240-04070120225114
2019/11/10,12:02:27,CVGPSR001FC01000510000470037461918140293368+067000030241-04070120226114
2019/11/10,12:02:28,CVGPSR001FC01000510000470037461918140293368+067000030240-04070120227114
2019/11/10,12:02:29,CVGPSR001FC01000510000470037461918140293368+067000030237-04070120228114
2019/11/10,12:02:30,CVGPSR001FC01000510000470037461918140293368+067000030238-04070120229114
