,,ナビデータ中身
2019/11/10,12:02:13,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120211108
2019/11/10,12:02:14,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120212108
2019/11/10,12:02:15,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120213107
2019/11/10,12:02:16,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120214108
2019/11/10,12:02:17,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120215107
2019/11/10,12:02:18,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120216108
2019/11/10,12:02:19,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120217108
2019/11/10,12:02:20,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120218107
2019/11/10,12:02:21,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120219107
2019/11/10,12:02:22,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120220108
2019/11/10,12:02:23,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120221108
2019/11/10,12:02:24,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120222108
2019/11/10,12:02:25,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120223108
2019/11/10,12:02:26,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120224108
2019/11/10,12:02:27,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120225108
2019/11/10,12:02:28,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120226108
2019/11/10,12:02:29,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120227108
2019/11/10,12:02:30,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120228108
2019/11/10,12:02:31,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120229108
2019/11/10,12:02:32,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120230108
2019/11/10,12:02:33,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120231108
2019/11/10,12:02:34,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120232108
2019/11/10,12:02:35,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120233108
2019/11/10,12:02:36,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120234108
2019/11/10,12:02:37,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120235108
2019/11/10,12:02:38,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120236108
2019/11/10,12:02:39,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120237108
2019/11/10,12:02:40,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120238108
2019/11/10,12:02:41,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120239107
2019/11/10,12:02:42,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120240108
2019/11/10,12:02:43,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120241108
2019/11/10,12:02:44,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120242108
2019/11/10,12:02:45,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120243108
2019/11/10,12:02:46,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120244108
2019/11/10,12:02:47,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120245108
2019/11/10,12:02:48,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120246108
2019/11/10,12:02:49,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120247108
2019/11/10,12:02:50,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120248108
2019/11/10,12:02:51,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120249108
2019/11/10,12:02:52,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120250108
2019/11/10,12:02:53,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120251108
2019/11/10,12:02:54,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120252108
2019/11/10,12:02:55,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120253107
2019/11/10,12:02:56,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120254108
2019/11/10,12:02:57,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120255108
