ì˙ït,,,,,NAVIÉfÅ[É^,ë¨ìxÉiÉ},éûä‘ÉiÉ},éûä‘,NAV/GPS,ë¨ìx(km/h),à‹ìx,åoìx
2019/11/10,47:24.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333433303031333339303033373433343431303134303233323233312B3135303031393833353938322D303430373031323437323431313503,30313938,3.13234E+11,12:47:24,GPS,19.8,37ìx43ï™44.1ïb,140ìx23ï™22.31ïb
2019/11/10,47:25.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333433353031333339353033373433343432383134303233323232382B3134393031393930303034302D303430373031323437323531313503,30313939,3.13234E+11,12:47:25,GPS,19.9,37ìx43ï™44.28ïb,140ìx23ï™22.28ïb
2019/11/10,47:26.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333434303031333430303033373433343434353134303233323232312B3134393031393930303030392D303430373031323437323631313503,30313939,3.13234E+11,12:47:26,GPS,19.9,37ìx43ï™44.45ïb,140ìx23ï™22.21ïb
2019/11/10,47:27.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333434353031333430353033373433343436303134303233323231382B3134393031393833353938302D303430373031323437323731313503,30313938,3.13234E+11,12:47:27,GPS,19.8,37ìx43ï™44.6ïb,140ìx23ï™22.18ïb
2019/11/10,47:28.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333435303031333431303033373433343437383134303233323231352B3134383031393730303032302D303430373031323437323831313503,30313937,3.13234E+11,12:47:28,GPS,19.7,37ìx43ï™44.78ïb,140ìx23ï™22.15ïb
2019/11/10,47:29.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333435353031333431353033373433343439353134303233323231322B3134383031393430303031362D303430373031323437323931313503,30313934,3.13234E+11,12:47:29,GPS,19.4,37ìx43ï™44.95ïb,140ìx23ï™22.12ïb
2019/11/10,47:30.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333436303031333432303033373433343531343134303233323230362B3134383031393030303030372D303430373031323437333031313503,30313930,3.13234E+11,12:47:30,GPS,19,37ìx43ï™45.14ïb,140ìx23ï™22.06ïb
2019/11/10,47:31.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333436353031333432353033373433343533313134303233323230362B3134383031383933353936382D303430373031323437333131313503,30313839,3.13234E+11,12:47:31,GPS,18.9,37ìx43ï™45.31ïb,140ìx23ï™22.06ïb
2019/11/10,47:32.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333437303031333433303033373433343534383134303233323230332B3134383031393033353937372D303430373031323437333231313503,30313930,3.13234E+11,12:47:32,GPS,19,37ìx43ï™45.48ïb,140ìx23ï™22.03ïb
2019/11/10,47:33.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333437353031333433353033373433343536353134303233323230302B3134383031393133353939362D303430373031323437333331313503,30313931,3.13234E+11,12:47:33,GPS,19.1,37ìx43ï™45.65ïb,140ìx23ï™22ïb
2019/11/10,47:34.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333438303031333434303033373433343538323134303233323139362B3134383031393233353935332D303430373031323437333431313503,30313932,3.13234E+11,12:47:34,GPS,19.2,37ìx43ï™45.82ïb,140ìx23ï™21.96ïb
2019/11/10,47:35.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333438353031333434353033373433343630303134303233323139302B3134383031393133353937332D303430373031323437333531313503,30313931,3.13234E+11,12:47:35,GPS,19.1,37ìx43ï™46ïb,140ìx23ï™21.9ïb
2019/11/10,47:36.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333439303031333435303033373433343631353134303233323138372B3134383031393033353839392D303430373031323437333631313503,30313930,3.13234E+11,12:47:36,GPS,19,37ìx43ï™46.15ïb,140ìx23ï™21.87ïb
2019/11/10,47:37.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333439353031333435353033373433343633323134303233323138342B3134383031383933353839392D303430373031323437333731313503,30313839,3.13234E+11,12:47:37,GPS,18.9,37ìx43ï™46.32ïb,140ìx23ï™21.84ïb
2019/11/10,47:38.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333530303031333436303033373433343635303134303233323137382B3134383031383833353932382D303430373031323437333831313503,30313838,3.13234E+11,12:47:38,GPS,18.8,37ìx43ï™46.5ïb,140ìx23ï™21.78ïb
2019/11/10,47:39.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333531303031333437303033373433343636383134303233323137352B3134383031383433353838312D303430373031323437333931313503,30313834,3.13234E+11,12:47:39,GPS,18.4,37ìx43ï™46.68ïb,140ìx23ï™21.75ïb
2019/11/10,47:40.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333531353031333437353033373433343638353134303233323137312B3134383031383233353831352D303430373031323437343031313503,30313832,3.13234E+11,12:47:40,GPS,18.2,37ìx43ï™46.85ïb,140ìx23ï™21.71ïb
2019/11/10,47:41.8,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333532303031333438303033373433343730333134303233323136382B3134383031383233353835352D303430373031323437343131313503,30313832,3.13234E+11,12:47:41,GPS,18.2,37ìx43ï™47.03ïb,140ìx23ï™21.68ïb
2019/11/10,47:42.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333532353031333438353033373433343732303134303233323136322B3134383031383033353834342D303430373031323437343231313503,30313830,3.13234E+11,12:47:42,GPS,18,37ìx43ï™47.2ïb,140ìx23ï™21.62ïb
2019/11/10,47:43.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333532393031333438393033373433343733343134303233323135392B3134383031373633353739312D303430373031323437343331313503,30313736,3.13234E+11,12:47:43,GPS,17.6,37ìx43ï™47.34ïb,140ìx23ï™21.59ïb
2019/11/10,47:44.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333533343031333439343033373433343735303134303233323135362B3134383031373433353737342D303430373031323437343431313503,30313734,3.13234E+11,12:47:44,GPS,17.4,37ìx43ï™47.5ïb,140ìx23ï™21.56ïb
2019/11/10,47:45.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333533393031333439393033373433343736353134303233323135332B3134383031373033353737362D303430373031323437343531313503,30313730,3.13234E+11,12:47:45,GPS,17,37ìx43ï™47.65ïb,140ìx23ï™21.53ïb
2019/11/10,47:46.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333534343031333530343033373433343737393134303233323134362B3134373031363233353733362D303430373031323437343631313503,30313632,3.13234E+11,12:47:46,GPS,16.2,37ìx43ï™47.79ïb,140ìx23ï™21.46ïb
2019/11/10,47:47.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333534393031333530393033373433343739333134303233323134332B3134373031353633353731342D303430373031323437343731313503,30313536,3.13234E+11,12:47:47,GPS,15.6,37ìx43ï™47.93ïb,140ìx23ï™21.43ïb
2019/11/10,47:48.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333535343031333531343033373433343830373134303233323134302B3134373031353333353538362D303430373031323437343831313503,30313533,3.13234E+11,12:47:48,GPS,15.3,37ìx43ï™48.07ïb,140ìx23ï™21.4ïb
2019/11/10,47:49.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333535393031333531393033373433343832313134303233323133372B3134373031353733353534322D303430373031323437343931313503,30313537,3.13234E+11,12:47:49,GPS,15.7,37ìx43ï™48.21ïb,140ìx23ï™21.37ïb
2019/11/10,47:50.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333535393031333531393033373433343833343134303233323133312B3134373031353633353532322D303430373031323437353031313503,30313536,3.13234E+11,12:47:50,GPS,15.6,37ìx43ï™48.34ïb,140ìx23ï™21.31ïb
2019/11/10,47:51.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333536343031333532343033373433343834363134303233323132382B3134373031353333353533302D303430373031323437353131313503,30313533,3.13234E+11,12:47:51,GPS,15.3,37ìx43ï™48.46ïb,140ìx23ï™21.28ïb
2019/11/10,47:52.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333536393031333532393033373433343836303134303233323132312B3134373031353233353535342D303430373031323437353231313503,30313532,3.13234E+11,12:47:52,GPS,15.2,37ìx43ï™48.6ïb,140ìx23ï™21.21ïb
2019/11/10,47:54.1,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333537343031333533343033373433343837363134303233323131382B3134373031353333353532352D303430373031323437353331313503,30313533,3.13234E+11,12:47:53,GPS,15.3,37ìx43ï™48.76ïb,140ìx23ï™21.18ïb
2019/11/10,47:54.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333537393031333533393033373433343839303134303233323131322B3134373031353433353533342D303430373031323437353431313503,30313534,3.13234E+11,12:47:54,GPS,15.4,37ìx43ï™48.9ïb,140ìx23ï™21.12ïb
2019/11/10,47:55.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333538343031333534343033373433343930343134303233323130392B3134373031353333353532322D303430373031323437353531313503,30313533,3.13234E+11,12:47:55,GPS,15.3,37ìx43ï™49.04ïb,140ìx23ï™21.09ïb
2019/11/10,47:56.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333538393031333534393033373433343931373134303233323130332B3134373031353033353531372D303430373031323437353631313503,30313530,3.13234E+11,12:47:56,GPS,15,37ìx43ï™49.17ïb,140ìx23ï™21.03ïb
2019/11/10,47:57.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333539333031333535333033373433343932393134303233323130302B3134373031343033353530312D303430373031323437353731313503,30313430,3.13234E+11,12:47:57,GPS,14,37ìx43ï™49.29ïb,140ìx23ï™21ïb
2019/11/10,47:58.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333539333031333535333033373433343934323134303233323039332B3134373031333833353437382D303430373031323437353831313503,30313338,3.13234E+11,12:47:58,GPS,13.8,37ìx43ï™49.42ïb,140ìx23ï™20.93ïb
2019/11/10,48:00.1,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333539383031333535383033373433343935363134303233323039302B3134373031343433353434372D303430373031323437353931313503,30313434,3.13234E+11,12:47:59,GPS,14.4,37ìx43ï™49.56ïb,140ìx23ï™20.9ïb
2019/11/10,48:00.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333630343031333536343033373433343936373134303233323038372B3134363031353233353431302D303430373031323438303031313503,30313532,3.13234E+11,12:48:00,GPS,15.2,37ìx43ï™49.67ïb,140ìx23ï™20.87ïb
2019/11/10,48:01.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333631313031333537313033373433343937383134303233323038312B3134363031363133353339332D303430373031323438303131313503,30313631,3.13234E+11,12:48:01,GPS,16.1,37ìx43ï™49.78ïb,140ìx23ï™20.81ïb
2019/11/10,48:02.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333631313031333537313033373433343939303134303233323037352B3134363031363633353338332D303430373031323438303231313503,30313636,3.13234E+11,12:48:02,GPS,16.6,37ìx43ï™49.9ïb,140ìx23ï™20.75ïb
2019/11/10,48:03.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333631343031333537343033373433353030343134303233323037312B3134363031363933353338312D303430373031323438303331313503,30313639,3.13234E+11,12:48:03,GPS,16.9,37ìx43ï™50.04ïb,140ìx23ï™20.71ïb
2019/11/10,48:04.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333631393031333537393033373433353032303134303233323036352B3134363031373333353337392D303430373031323438303431313503,30313733,3.13234E+11,12:48:04,GPS,17.3,37ìx43ï™50.2ïb,140ìx23ï™20.65ïb
2019/11/10,48:05.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333632343031333538343033373433353033353134303233323035392B3134363031373533353431312D303430373031323438303531313503,30313735,3.13234E+11,12:48:05,GPS,17.5,37ìx43ï™50.35ïb,140ìx23ï™20.59ïb
2019/11/10,48:06.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333632393031333538393033373433353035333134303233323035332B3134363031373833353433302D303430373031323438303631313503,30313738,3.13234E+11,12:48:06,GPS,17.8,37ìx43ï™50.53ïb,140ìx23ï™20.53ïb
2019/11/10,48:07.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333633343031333539343033373433353037303134303233323035302B3134373031373833353435352D303430373031323438303731313503,30313738,3.13234E+11,12:48:07,GPS,17.8,37ìx43ï™50.7ïb,140ìx23ï™20.5ïb
