,,ナビデータ中身
2019/11/10,12:01:33,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120132114
2019/11/10,12:01:34,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120133114
2019/11/10,12:01:35,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120134114
2019/11/10,12:01:36,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120135114
2019/11/10,12:01:37,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120136114
2019/11/10,12:01:38,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120137114
2019/11/10,12:01:39,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120138114
2019/11/10,12:01:40,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120139114
2019/11/10,12:01:41,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120140114
2019/11/10,12:01:42,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120141114
2019/11/10,12:01:43,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120142114
2019/11/10,12:01:44,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120143114
2019/11/10,12:01:45,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120144114
2019/11/10,12:01:46,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120145114
2019/11/10,12:01:47,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120146114
2019/11/10,12:01:48,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120147114
2019/11/10,12:01:49,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120148114
2019/11/10,12:01:50,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120149114
2019/11/10,12:01:51,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120150114
2019/11/10,12:01:52,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120151114
2019/11/10,12:01:53,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120152114
2019/11/10,12:01:54,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120153114
2019/11/10,12:01:55,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120154114
2019/11/10,12:01:56,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120155114
2019/11/10,12:01:57,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120156114
2019/11/10,12:01:58,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120157114
2019/11/10,12:01:59,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120158114
2019/11/10,12:02:00,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120159114
2019/11/10,12:02:01,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120200114
