,,ナビデータ中身
2019/11/10,12:01:58,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120157007
2019/11/10,12:01:59,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120158007
2019/11/10,12:02:00,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120159007
2019/11/10,12:02:01,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120200007
2019/11/10,12:02:02,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120201007
2019/11/10,12:02:03,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120202007
2019/11/10,12:02:04,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120203007
2019/11/10,12:02:05,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120204007
2019/11/10,12:02:06,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120205007
2019/11/10,12:02:07,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120206007
2019/11/10,12:02:08,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120207007
2019/11/10,12:02:09,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120208007
2019/11/10,12:02:10,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120209007
2019/11/10,12:02:11,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120210007
2019/11/10,12:02:12,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120211007
2019/11/10,12:02:13,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120212007
2019/11/10,12:02:14,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120213007
2019/11/10,12:02:15,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120214007
2019/11/10,12:02:16,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120215007
2019/11/10,12:02:17,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120216007
2019/11/10,12:02:18,CVNAVR102FC02000000-00015037461946140293646+074000014796-01570120217007
2019/11/10,12:02:19,CVNAVR102FC02000000-00015037461946140293646+074000014796-01570120218007
2019/11/10,12:02:20,CVNAVR102FC02000000-00015037461946140293646+074000014796-01570120219007
2019/11/10,12:02:21,CVNAVR102FC02000000-00015037461946140293646+074000014796-01570120220007
2019/11/10,12:02:22,CVNAVR102FC02000000-00015037461946140293646+074000014796-01570120221007
2019/11/10,12:02:23,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120222007
2019/11/10,12:02:24,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120223007
2019/11/10,12:02:25,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120224007
2019/11/10,12:02:26,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120225007
2019/11/10,12:02:27,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120226007
2019/11/10,12:02:28,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120227007
2019/11/10,12:02:29,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120228007
2019/11/10,12:02:30,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120229007
2019/11/10,12:02:31,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120230007
2019/11/10,12:02:32,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120231007
2019/11/10,12:02:33,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120232007
2019/11/10,12:02:34,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120233007
2019/11/10,12:02:35,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120234007
2019/11/10,12:02:36,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120235007
2019/11/10,12:02:37,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120236007
2019/11/10,12:02:38,CVNAVR102FC02000000-00015037461946140293646+073000014796-01570120237007
2019/11/10,12:02:39,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120238007
2019/11/10,12:02:40,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120239007
2019/11/10,12:02:41,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120240007
2019/11/10,12:02:42,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120241007
2019/11/10,12:02:43,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120242007
2019/11/10,12:02:44,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120243007
2019/11/10,12:02:45,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120244007
2019/11/10,12:02:46,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120245007
2019/11/10,12:02:47,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120246007
2019/11/10,12:02:48,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120247007
2019/11/10,12:02:49,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120248007
2019/11/10,12:02:50,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120249007
2019/11/10,12:02:51,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120250007
2019/11/10,12:02:52,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120251007
2019/11/10,12:02:53,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120252007
2019/11/10,12:02:54,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120253007
2019/11/10,12:02:55,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120254007
2019/11/10,12:02:56,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120255007
2019/11/10,12:02:57,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120256007
2019/11/10,12:02:58,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120257007
2019/11/10,12:02:59,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120258007
2019/11/10,12:03:00,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120259007
2019/11/10,12:03:01,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120300007
2019/11/10,12:03:02,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120301007
2019/11/10,12:03:03,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120302007
2019/11/10,12:03:04,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120303007
2019/11/10,12:03:05,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120304007
2019/11/10,12:03:06,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120305007
2019/11/10,12:03:07,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120306007
2019/11/10,12:03:08,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120307007
2019/11/10,12:03:09,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120308007
2019/11/10,12:03:10,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120309007
2019/11/10,12:03:11,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120310007
2019/11/10,12:03:12,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120311007
2019/11/10,12:03:13,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120312007
2019/11/10,12:03:14,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120313007
2019/11/10,12:03:15,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120314007
2019/11/10,12:03:16,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120315007
2019/11/10,12:03:17,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120316007
2019/11/10,12:03:18,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120317007
2019/11/10,12:03:19,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120318007
2019/11/10,12:03:20,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120319007
2019/11/10,12:03:21,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120320007
2019/11/10,12:03:22,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120321007
2019/11/10,12:03:23,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120322007
2019/11/10,12:03:24,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120323007
2019/11/10,12:03:25,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120324007
2019/11/10,12:03:26,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120325007
2019/11/10,12:03:27,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120326007
2019/11/10,12:03:28,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120327007
2019/11/10,12:03:29,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120328007
2019/11/10,12:03:30,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120329007
2019/11/10,12:03:31,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120330007
2019/11/10,12:03:32,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120331007
2019/11/10,12:03:33,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120332007
2019/11/10,12:03:34,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120333007
2019/11/10,12:03:35,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120334007
2019/11/10,12:03:36,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120335007
2019/11/10,12:03:37,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120336007
2019/11/10,12:03:38,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120337007
2019/11/10,12:03:39,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120338007
2019/11/10,12:03:40,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120339007
2019/11/10,12:03:42,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120340007
2019/11/10,12:03:42,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120341007
2019/11/10,12:03:43,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120342007
2019/11/10,12:03:44,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120343007
2019/11/10,12:03:45,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120344007
2019/11/10,12:03:46,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120345007
2019/11/10,12:03:47,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120346007
2019/11/10,12:03:48,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120347007
2019/11/10,12:03:49,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120348007
2019/11/10,12:03:50,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120349007
2019/11/10,12:03:51,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120350007
2019/11/10,12:03:52,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120351007
2019/11/10,12:03:53,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120352007
2019/11/10,12:03:54,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120353007
2019/11/10,12:03:55,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120354007
2019/11/10,12:03:56,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120355007
2019/11/10,12:03:57,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120356007
2019/11/10,12:03:58,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120357007
2019/11/10,12:03:59,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120358007
2019/11/10,12:04:00,CVNAVR102FC02000000-00015037461946140293646+071000614787-01570120359007
2019/11/10,12:04:01,CVNAVR102FC02000000-00015037461946140293646+071000314766-01570120400007
2019/11/10,12:04:02,CVNAVR102FC02000000-00015037461945140293650+071001014749-01570120401007
2019/11/10,12:04:03,CVNAVR102FC02000000-00015037461943140293650+071001614727-01570120402007
2019/11/10,12:04:04,CVNAVR102FC02000000-00015037461943140293650+071001614712-01570120403007
2019/11/10,12:04:05,CVNAVR102FC02000000-00015037461940140293653+070001714698-01570120404007
2019/11/10,12:04:07,CVNAVR102FC02000000-00015037461940140293653+070001614680-01570120405007
2019/11/10,12:04:07,CVNAVR102FC02000000-00015037461939140293653+070001614665-01570120406007
2019/11/10,12:04:08,CVNAVR102FC02000000-00015037461937140293656+070001614656-01570120407007
2019/11/10,12:04:09,CVNAVR102FC02000000-00015037461937140293656+070001314646-01570120408007
2019/11/10,12:04:10,CVNAVR102FC02000000-00015037461935140293656+070001214641-01570120409007
2019/11/10,12:04:11,CVNAVR102FC02000000-00015037461934140293656+070001414638-01570120410008
2019/11/10,12:04:12,CVNAVR102FC02000000-00015037461932140293659+070001814618-01570120411008
2019/11/10,12:04:13,CVNAVR102FC02000001-00014037461931140293659+070002014601-01570120412007
2019/11/10,12:04:14,CVNAVR102FC02000001-00014037461931140293662+070001714602-01570120413007
2019/11/10,12:04:15,CVNAVR102FC02000001-00014037461929140293662+070001414572-01570120414007
2019/11/10,12:04:16,CVNAVR102FC02000001-00014037461928140293662+070001314543-01570120415007
2019/11/10,12:04:17,CVNAVR102FC02000001-00014037461928140293662+070001614468-01570120416007
2019/11/10,12:04:18,CVNAVR102FC02000001-00014037461925140293665+070001814417-01570120417007
2019/11/10,12:04:19,CVNAVR102FC02000001-00014037461923140293662+070001714396-01570120418007
2019/11/10,12:04:20,CVNAVR102FC02000001-00014037461921140293662+070001514367-01570120419007
2019/11/10,12:04:21,CVNAVR102FC02000001-00014037461921140293662+070001314367-01570120420007
2019/11/10,12:04:22,CVNAVR102FC02000001-00014037461921140293662+070000014368-01570120421007
2019/11/10,12:04:23,CVNAVR102FC02000001-00014037461921140293662+070000014367-01570120422007
2019/11/10,12:04:24,CVNAVR102FC02000001-00014037461921140293662+070000014365-01570120423007
2019/11/10,12:04:25,CVNAVR102FC02000001-00014037461921140293662+070000014362-01570120424007
2019/11/10,12:04:26,CVNAVR102FC02000001-00014037461921140293662+070000014365-01570120425007
2019/11/10,12:04:27,CVNAVR102FC02000001-00014037461921140293662+070000014365-01570120426007
2019/11/10,12:04:28,CVNAVR102FC02000001-00014037461921140293662+070000014364-01570120427007
2019/11/10,12:04:29,CVNAVR102FC02000001-00014037461921140293662+070000014363-01570120428007
2019/11/10,12:04:30,CVNAVR102FC02000001-00014037461921140293662+070000014361-01570120429007
2019/11/10,12:04:31,CVNAVR102FC02000001-00014037461921140293662+071000014361-01570120430007
2019/11/10,12:04:32,CVNAVR102FC02000001-00014037461921140293662+070000014361-01570120431007
2019/11/10,12:04:33,CVNAVR102FC02000001-00014037461921140293662+070000014361-01570120432007
2019/11/10,12:04:34,CVNAVR102FC02000001-00014037461921140293662+070000014361-01570120433007
2019/11/10,12:04:35,CVNAVR102FC02000001-00014037461921140293662+071000014364-01570120434007
2019/11/10,12:04:36,CVNAVR102FC02000001-00014037461921140293662+071000014365-01570120435007
2019/11/10,12:04:38,CVNAVR102FC02000001-00014037461921140293662+071000614357-01570120436007
2019/11/10,12:04:38,CVNAVR102FC02000001-00014037461920140293662+071000314320-01570120437007
